ID_Num Regressor session run
2004 Approach2sResponse pretreatment run1
2004 Approach2sRestOfTrial pretreatment run1
2004 AmbigApproach2sResponse pretreatment run2
2004 AmbigApproach2sRestOfTrial pretreatment run2
2004 Approach2sResponse pretreatment run2
2004 Approach2sRestOfTrial pretreatment run2
2004 AmbigApproach2sResponse posttreatment run2
2004 AmbigApproach2sRestOfTrial posttreatment run2
2011 AmbigAvoid2sResponse pretreatment run2
2011 AmbigAvoid2sRestOfTrial pretreatment run2
2016 AmbigAvoid2sResponse posttreatment run2
2016 AmbigAvoid2sRestOfTrial posttreatment run2
2023 AmbigAvoid2sResponse pretreatment run2
2023 AmbigAvoid2sRestOfTrial pretreatment run2
2025 AmbigAvoid2sResponse pretreatment run2
2025 AmbigAvoid2sRestOfTrial pretreatment run2
2025 AmbigAvoid2sResponse posttreatment run2
2025 AmbigAvoid2sRestOfTrial posttreatment run2
2028 AmbigAvoid2sResponse pretreatment run1
2028 AmbigAvoid2sRestOfTrial pretreatment run1
2028 AmbigAvoid2sResponse pretreatment run2
2028 AmbigAvoid2sRestOfTrial pretreatment run2
2040 AmbigApproach2sResponse pretreatment run2
2040 AmbigApproach2sRestOfTrial pretreatment run2
2046 AmbigAvoid2sResponse pretreatment run1
2046 AmbigAvoid2sRestOfTrial pretreatment run1
2050 AmbigApproach2sResponse posttreatment run2
2050 AmbigApproach2sRestOfTrial posttreatment run2
2054 AmbigAvoid2sResponse pretreatment run1
2054 AmbigAvoid2sRestOfTrial pretreatment run1
2054 AmbigAvoid2sResponse pretreatment run2
2054 AmbigAvoid2sRestOfTrial pretreatment run2
2055 AmbigAvoid2sResponse pretreatment run1
2055 AmbigAvoid2sRestOfTrial pretreatment run1
2055 AmbigAvoid2sResponse posttreatment run1
2055 AmbigAvoid2sRestOfTrial posttreatment run1
2056 AmbigAvoid2sResponse pretreatment run2
2056 AmbigAvoid2sRestOfTrial pretreatment run2
2056 AmbigApproach2sResponse posttreatment run2
2056 AmbigApproach2sRestOfTrial posttreatment run2
2059 AmbigAvoid2sResponse posttreatment run1
2059 AmbigAvoid2sRestOfTrial posttreatment run1
2059 AmbigAvoid2sResponse posttreatment run2
2059 AmbigAvoid2sRestOfTrial posttreatment run2
2061 AmbigAvoid2sResponse pretreatment run1
2061 AmbigAvoid2sRestOfTrial pretreatment run1
2061 AmbigAvoid2sResponse pretreatment run2
2061 AmbigAvoid2sRestOfTrial pretreatment run2
2061 AmbigAvoid2sResponse posttreatment run1
2061 AmbigAvoid2sRestOfTrial posttreatment run1
2061 AmbigAvoid2sResponse posttreatment run2
2061 AmbigAvoid2sRestOfTrial posttreatment run2
2062 AmbigAvoid2sResponse pretreatment run2
2062 AmbigAvoid2sRestOfTrial pretreatment run2
2062 AmbigAvoid2sResponse posttreatment run1
2062 AmbigAvoid2sRestOfTrial posttreatment run1
2062 AmbigAvoid2sResponse posttreatment run2
2062 AmbigAvoid2sRestOfTrial posttreatment run2
2065 AmbigAvoid2sResponse pretreatment run1
2065 AmbigAvoid2sRestOfTrial pretreatment run1
2065 AmbigAvoid2sResponse pretreatment run2
